email,devices,city,phone,id,name
Aadam.Browning@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",702-276-7562,299.0,Aadam Browning
Aaminah.Daniel@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",877-314-7868,335.0,Aaminah Daniel
Aayan.Donovan@example.com,"['Android', 'Desktop']","Paris, France",476-401-9860,580.0,Aayan Donovan
Abdirahman.Marsh@example.com,['Iphone'],"Toronto, Canada",653-601-4374,669.0,Abdirahman Marsh
Abdirahman.Mullen@example.com,"['Android', 'Iphone', 'Desktop']","Toronto, Canada",669-442-8257,149.0,Abdirahman Mullen
Abdullahi.Carson@example.com,"['Android', 'Iphone', 'Desktop']","Toronto, Canada",632-547-8327,809.0,Abdullahi Carson
Abi.Montgomery@example.com,['Desktop'],"Montreal, Canada",904-933-1987,428.0,Abi Montgomery
Abigail.Medina@example.com,"['Android', 'Desktop']","London, United Kingdom",857-602-1192,729.0,Abigail Medina
Abu.Delacruz@example.com,"['Android', 'Iphone']","New York, USA",401-411-2184,657.0,Abu Delacruz
Abu.Miranda@example.com,"['Desktop', 'Iphone']","Los Angeles, USA",615-102-4849,480.0,Abu Miranda
Abubakar.House@example.com,['Desktop'],"San Diego, USA",713-179-2294,46.0,Abubakar House
Abubakar.Shaffer@example.com,['Android'],"Barcelona, Spain",404-849-9394,330.0,Abubakar Shaffer
Ada.Reid@example.com,"['Android', 'Iphone', 'Desktop']","Chicago, USA",958-944-9616,999.0,Ada Reid
Ada.Walsh@example.com,['Desktop'],"San Francisco, USA",391-963-8942,534.0,Ada Walsh
Adele.Cantrell@example.com,"['Android', 'Desktop']","New York, USA",264-319-7312,289.0,Adele Cantrell
Adele.Garza@example.com,"['Android', 'Iphone', 'Desktop']","New York, USA",429-916-1662,17.0,Adele Garza
Adem.Kerr@example.com,['Iphone'],"Toronto, Canada",219-873-6077,754.0,Adem Kerr
Adem.Mccoy@example.com,"['Android', 'Iphone', 'Desktop']","San Francisco, USA",885-779-4082,830.0,Adem Mccoy
Adnan.Allen@example.com,"['Android', 'Desktop']","Chicago, USA",561-365-7378,138.0,Adnan Allen
Adnan.Moore@example.com,['Iphone'],"San Francisco, USA",132-644-9432,408.0,Adnan Moore
Adrian.Joseph@example.com,"['Android', 'Iphone', 'Desktop']","Chicago, USA",808-456-6071,984.0,Adrian Joseph
Adriana.Stafford@example.com,['Iphone'],"Montreal, Canada",473-741-6496,141.0,Adriana Stafford
Ahmad.Castro@example.com,['Android'],"San Francisco, USA",629-807-5687,81.0,Ahmad Castro
Ahmad.Landry@example.com,['Desktop'],"Los Angeles, USA",207-841-9893,890.0,Ahmad Landry
Ahmad.Patrick@example.com,"['Android', 'Iphone']","Toronto, Canada",875-486-1626,482.0,Ahmad Patrick
Ahmed.Mcpherson@example.com,['Android'],"Los Angeles, USA",797-300-1323,414.0,Ahmed Mcpherson
