id,name,phone,email,city,devices,promotion,responded
144.0,Emelia Page,929-575-4315,Emelia.Page@example.com,"San Francisco, USA","['Iphone', 'Desktop']",Coca-Splash,Yes
74.0,Myrtle Doyle,525-796-7991,Myrtle.Doyle@example.com,"Toronto, Canada","['Android', 'Iphone', 'Desktop']",GatorBoost,Yes
109.0,Huw Valentine,441-847-1955,Huw.Valentine@example.com,"Chicago, USA","['Iphone', 'Desktop']",Oreoz,Yes
934.0,Alessandro French,216-516-1958,Alessandro.French@example.com,"San Diego, USA","['Android', 'Desktop']",Popsi,Yes
530.0,Isobelle Davidson,237-295-4490,Isobelle.Davidson@example.com,"San Francisco, USA",['Iphone'],Popsi,Yes
296.0,Steven Reid,490-977-4025,Steven.Reid@example.com,"San Francisco, USA","['Android', 'Desktop']",Popsi,Yes
915.0,Barry Buck,667-391-6777,Barry.Buck@example.com,"San Francisco, USA","['Android', 'Iphone', 'Desktop']",Flixnet,No
768.0,Caleb Obrien,223-387-1014,Caleb.Obrien@example.com,"Toronto, Canada","['Android', 'Iphone']",Krafty Cheddar,Yes
971.0,Kyran Duncan,433-632-3326,Kyran.Duncan@example.com,"New York, USA","['Android', 'Desktop']",Oreoz,Yes
211.0,Gerard Francis,958-724-3846,Gerard.Francis@example.com,"Chicago, USA","['Android', 'Iphone', 'Desktop']",Oreoz,Yes
828.0,Nora Donaldson,414-618-5713,Nora.Donaldson@example.com,"San Diego, USA","['Android', 'Iphone', 'Desktop']",Colgatex,Yes
927.0,Alejandro Kent,915-320-3214,Alejandro.Kent@example.com,"Chicago, USA","['Android', 'Iphone']",GatorBoost,Yes
829.0,Ismaeel Schmidt,110-478-3409,Ismaeel.Schmidt@example.com,"Los Angeles, USA",['Iphone'],Popsi,Yes
620.0,Neo Lara,276-319-4768,Neo.Lara@example.com,"Toronto, Canada","['Android', 'Iphone']",Dovee,Yes
922.0,Luisa Haley,916-879-3164,Luisa.Haley@example.com,"Barcelona, Spain","['Iphone', 'Desktop']",GatorBoost,Yes
861.0,Deacon Boone,950-335-6994,Deacon.Boone@example.com,"New York, USA","['Android', 'Iphone', 'Desktop']",Oreoz,Yes
206.0,Azaan Roth,130-119-2032,Azaan.Roth@example.com,"Los Angeles, USA","['Android', 'Iphone']",Flixnet,Yes
31.0,Bradley Butler,937-172-2269,Bradley.Butler@example.com,"Montreal, Canada",['Iphone'],RedCow,Yes
100.0,Usman Swanson,431-103-9132,Usman.Swanson@example.com,"London, United Kingdom","['Android', 'Iphone', 'Desktop']",Coca-Splash,No
415.0,Christopher Pollard,915-743-9764,Christopher.Pollard@example.com,"San Diego, USA","['Android', 'Iphone', 'Desktop']",GatorBoost,No
225.0,Neil Haynes,421-219-5363,Neil.Haynes@example.com,"San Diego, USA","['Android', 'Iphone', 'Desktop']",Coca-Splash,Yes
