transaction_id,phone,store,item_name,price,price_per_item,quantity,id,name,email
1000,233-159-4158,Trader Tales,Krafty Cheddar,5.0,5.0,1,854.0,Ffion Knight,Ffion.Knight@example.com
1000,233-159-4158,Trader Tales,Popsi,4.0,4.0,1,854.0,Ffion Knight,Ffion.Knight@example.com
1000,233-159-4158,Trader Tales,Oreoz,8.0,4.0,2,854.0,Ffion Knight,Ffion.Knight@example.com
1001,725-427-2794,PetPals Mart,Colgatex,2.0,2.0,1,341.0,Alexandros Green,Alexandros.Green@example.com
1002,659-190-9378,Trader Tales,Colgatex,3.0,3.0,1,15.0,Leroy Barrera,Leroy.Barrera@example.com
1002,659-190-9378,Trader Tales,Dovee,2.0,2.0,1,15.0,Leroy Barrera,Leroy.Barrera@example.com
1002,659-190-9378,Trader Tales,Flixnet,11.0,11.0,1,15.0,Leroy Barrera,Leroy.Barrera@example.com
1003,334-436-6254,Urban Outfitters Loft,Krafty Cheddar,8.0,4.0,2,371.0,Ismaeel Roach,Ismaeel.Roach@example.com
1003,334-436-6254,Urban Outfitters Loft,RedCow,3.0,3.0,1,371.0,Ismaeel Roach,Ismaeel.Roach@example.com
1003,334-436-6254,Urban Outfitters Loft,Dovee,2.0,1.0,2,371.0,Ismaeel Roach,Ismaeel.Roach@example.com
1004,615-102-4849,PetPals Mart,Popsi,3.0,3.0,1,480.0,Abu Miranda,Abu.Miranda@example.com
1004,615-102-4849,PetPals Mart,Flixnet,10.0,10.0,1,480.0,Abu Miranda,Abu.Miranda@example.com
1005,294-365-8364,Urban Outfitters Loft,Popsi,3.0,3.0,1,850.0,Taylor Woods,Taylor.Woods@example.com
1005,294-365-8364,Urban Outfitters Loft,KittyKat,4.0,2.0,2,850.0,Taylor Woods,Taylor.Woods@example.com
1006,634-813-9351,BestChoice Buy,Flixnet,11.0,11.0,1,564.0,Craig Mcknight,Craig.Mcknight@example.com
1006,634-813-9351,BestChoice Buy,Colgatex,6.0,3.0,2,564.0,Craig Mcknight,Craig.Mcknight@example.com
1007,273-616-5739,SparkMart,KittyKat,8.0,4.0,2,297.0,Ayesha O'Reilly,Ayesha.O'Reilly@example.com
1007,273-616-5739,SparkMart,RedCow,5.0,5.0,1,297.0,Ayesha O'Reilly,Ayesha.O'Reilly@example.com
1007,273-616-5739,SparkMart,Dovee,9.0,3.0,3,297.0,Ayesha O'Reilly,Ayesha.O'Reilly@example.com
1008,839-124-9420,SparkMart,Colgatex,4.0,4.0,1,305.0,Doris Griffith,Doris.Griffith@example.com
1008,839-124-9420,SparkMart,RedCow,5.0,5.0,1,305.0,Doris Griffith,Doris.Griffith@example.com
1008,839-124-9420,SparkMart,KittyKat,4.0,4.0,1,305.0,Doris Griffith,Doris.Griffith@example.com
1009,645-829-7495,Trader Tales,Krafty Cheddar,5.0,5.0,1,169.0,Katy Harrington,Katy.Harrington@example.com
1010,444-295-8051,Trader Tales,Flixnet,11.0,11.0,1,752.0,Marwa Dennis,Marwa.Dennis@example.com
1010,444-295-8051,Trader Tales,RedCow,4.0,4.0,1,752.0,Marwa Dennis,Marwa.Dennis@example.com
1010,444-295-8051,Trader Tales,Popsi,4.0,4.0,1,752.0,Marwa Dennis,Marwa.Dennis@example.com
1011,520-305-7264,Trader Tales,Colgatex,3.0,3.0,1,89.0,Everett Fitzpatrick,Everett.Fitzpatrick@example.com
1011,520-305-7264,Trader Tales,Popsi,4.0,4.0,1,89.0,Everett Fitzpatrick,Everett.Fitzpatrick@example.com
1011,520-305-7264,Trader Tales,Flixnet,11.0,11.0,1,89.0,Everett Fitzpatrick,Everett.Fitzpatrick@example.com
1012,891-887-3513,PetPals Mart,Colgatex,2.0,2.0,1,202.0,Kabir Stewart,Kabir.Stewart@example.com
1012,891-887-3513,PetPals Mart,Flixnet,30.0,10.0,3,202.0,Kabir Stewart,Kabir.Stewart@example.com
1013,114-507-5478,BestChoice Buy,RedCow,4.0,4.0,1,526.0,Tara Brewer,Tara.Brewer@example.com
1013,114-507-5478,BestChoice Buy,Colgatex,3.0,3.0,1,526.0,Tara Brewer,Tara.Brewer@example.com
1013,114-507-5478,BestChoice Buy,Dovee,4.0,2.0,2,526.0,Tara Brewer,Tara.Brewer@example.com
1014,558-608-9550,BestChoice Buy,Krafty Cheddar,5.0,5.0,1,370.0,Darcey Powell,Darcey.Powell@example.com
1015,372-218-6551,BestChoice Buy,Colgatex,3.0,3.0,1,132.0,Tina Powell,Tina.Powell@example.com
1015,372-218-6551,BestChoice Buy,Krafty Cheddar,10.0,5.0,2,132.0,Tina Powell,Tina.Powell@example.com
1015,372-218-6551,BestChoice Buy,Popsi,4.0,4.0,1,132.0,Tina Powell,Tina.Powell@example.com
1016,441-847-1955,Urban Outfitters Loft,Popsi,9.0,3.0,3,109.0,Huw Valentine,Huw.Valentine@example.com
1016,441-847-1955,Urban Outfitters Loft,Dovee,3.0,1.0,3,109.0,Huw Valentine,Huw.Valentine@example.com
1016,441-847-1955,Urban Outfitters Loft,Flixnet,10.0,10.0,1,109.0,Huw Valentine,Huw.Valentine@example.com
1017,924-146-4189,PetPals Mart,Dovee,1.0,1.0,1,54.0,Bethany Santana,Bethany.Santana@example.com
1018,512-600-6692,Urban Outfitters Loft,Dovee,2.0,1.0,2,986.0,Rosanna Dyer,Rosanna.Dyer@example.com
1019,362-464-9875,Trader Tales,Popsi,4.0,4.0,1,894.0,Kyran Foster,Kyran.Foster@example.com
1019,362-464-9875,Trader Tales,Colgatex,6.0,3.0,2,894.0,Kyran Foster,Kyran.Foster@example.com
1020,101-165-2021,SparkMart,Flixnet,12.0,12.0,1,742.0,Kieran Hoover,Kieran.Hoover@example.com
1020,101-165-2021,SparkMart,Popsi,10.0,5.0,2,742.0,Kieran Hoover,Kieran.Hoover@example.com
1021,563-494-9026,Urban Outfitters Loft,Colgatex,2.0,2.0,1,328.0,Otis Pittman,Otis.Pittman@example.com
1022,918-588-9531,Trader Tales,RedCow,8.0,4.0,2,368.0,Marie Hughes,Marie.Hughes@example.com
1022,918-588-9531,Trader Tales,Krafty Cheddar,5.0,5.0,1,368.0,Marie Hughes,Marie.Hughes@example.com
1023,315-892-7127,PetPals Mart,KittyKat,6.0,2.0,3,735.0,Shane Wheeler,Shane.Wheeler@example.com
1023,315-892-7127,PetPals Mart,Popsi,6.0,3.0,2,735.0,Shane Wheeler,Shane.Wheeler@example.com
1023,315-892-7127,PetPals Mart,Dovee,1.0,1.0,1,735.0,Shane Wheeler,Shane.Wheeler@example.com
1024,640-390-3390,Trader Tales,Flixnet,22.0,11.0,2,944.0,Hiba Hicks,Hiba.Hicks@example.com
1024,640-390-3390,Trader Tales,RedCow,12.0,4.0,3,944.0,Hiba Hicks,Hiba.Hicks@example.com
1025,626-458-8110,Targeted Treasures,RedCow,10.0,5.0,2,693.0,Jayden Dunlap,Jayden.Dunlap@example.com
1026,993-541-7464,BestChoice Buy,Colgatex,6.0,3.0,2,533.0,Joshua Holt,Joshua.Holt@example.com
